,participant_id,SBP,SBP,DBP,HR
,nunique,count,median,median,median
label,,,,,
Air Alert,11,117,120.0,79.0,76.0
Baseline,28,1238,120.0,76.5,78.0
Before Testing,27,128,122.0,81.0,89.0
Break,24,69,124.0,83.0,85.0
Cognitive Pre,28,50,126.5,81.0,79.0
Cognitive Task,27,45,126.0,81.0,76.0
Manual Trigger,7,11,134.0,75.0,77.0
Physical Pre,26,46,122.5,80.5,77.0
Physical Task,26,53,137.0,83.0,86.0
Sleep,28,407,107.0,62.0,65.0
